"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
adaa8e3d-a07d-4dd6-955f-2549204d7489,Ungroup,Ungroup,true,false,ungroupBtn,All,false,"#N/A",906.0,onUngroup,"#N/A","#N/A",Ungroup,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
b19be3af-7eb5-4160-91c4-02d3b3e9c5c8,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,"#N/A",901.0,onAddFavorites,"#N/A","#N/A",Add Favorites,Quote/Group,"#N/A",Quote Line Editor,26726949-4850-4874-a156-60f8f587fe27,"#N/A","#N/A",Button,"#N/A","#N/A"
b24cc0c9-accc-46f8-aa9a-919a6352f972,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",953.0,updateLineOptional,"#N/A","#N/A",Optional: None,Group,"#N/A",Quote Line Editor,26726949-4850-4874-a156-60f8f587fe27,"#N/A","#N/A",Button,"#N/A","#N/A"
b2c977ee-8f84-4893-a204-2f9f6795bb43,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,"#N/A",912.0,onQuickSave,"#N/A","#N/A",Quick Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
b5f7a462-8368-43ea-b5b2-688cf5ab59e3,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,"#N/A",950.0,onCloneGroup,"#N/A","#N/A",Clone Group,Group,"#N/A",Quote Line Editor,26726949-4850-4874-a156-60f8f587fe27,"#N/A","#N/A",Button,"#N/A","#N/A"
bcf67b08-2124-4134-9417-bddefea01c6f,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,"#N/A",998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
c1c788ee-6ff4-40d0-af7d-023a618a7910,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",911.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
c297d138-dd4e-4b15-ae3c-54014c1fb24c,Optional: None - Quote,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",910.0,updateLineOptional,sb-icon-dot-circled,dot-circled,Optional: None,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
cce2de0f-3ba2-4802-b8fb-a46435c346b8,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,"#N/A",903.0,onRenewSubscriptions,"#N/A","#N/A",Renew Subscriptions,Quote/Group,"#N/A",Quote Line Editor,26726949-4850-4874-a156-60f8f587fe27,"#N/A","#N/A",Button,"#N/A","#N/A"
d4bc11cd-c693-4ecb-acb5-ff897342ae82,Launch External,"#N/A",true,false,"#N/A",All,false,"#N/A",900.0,"#N/A","#N/A","#N/A",Launch External,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
e04df5a8-4f7e-4981-a25b-a1a041194f4f,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,"#N/A",991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
e3e949cd-064e-4b44-abef-4b62672ae583,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,"#N/A",995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
e711b0af-350a-4d29-9bb2-d4e6e8ae3a0b,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",954.0,onResetDiscounts,"#N/A","#N/A",Reset Discounts,Group,"#N/A",Quote Line Editor,26726949-4850-4874-a156-60f8f587fe27,"#N/A","#N/A",Button,"#N/A","#N/A"
e71948e8-2c3f-44a3-9d26-0074e8f1f1cf,Apply Edit Rules,Apply Edit Rules,true,false,"#N/A",All,false,"#N/A",901.0,"#N/A","#N/A","#N/A",Apply Rules,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
e88b9bf0-890d-4394-bcc9-c17f6e714dfe,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",952.0,updateLineOptional,"#N/A","#N/A",Optional: All,Group,"#N/A",Quote Line Editor,26726949-4850-4874-a156-60f8f587fe27,"#N/A","#N/A",Button,"#N/A","#N/A"
f229bc0d-3d23-46c2-a481-b75eba841db1,Reconfigure Line,Reconfigure Line,true,false,reconfigureBtn,All,false,"#N/A",992.0,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
